i == 1   a[1] === 1   sum == 1
i == 2   a[2] === 1   sum == 2
i == 3   a[3] === 2   sum == 4
i == 4   a[4] === 2   sum == 6
i == 5   a[5] === 3   sum == 9
i == 6   a[6] === 4   sum == 13
i == 7   a[7] === 4   sum == 17
i == 8   a[8] === 4   sum == 21
i == 9   a[9] === 5   sum == 26
i == 10   a[10] === 6   sum == 32
i == 11   a[11] === 6   sum == 38
i == 12   a[12] === 7   sum == 45
i == 13   a[13] === 8   sum == 53
i == 14   a[14] === 8   sum == 61
i == 15   a[15] === 8   sum == 69
i == 16   a[16] === 8   sum == 77
i == 17   a[17] === 9   sum == 86
i == 18   a[18] === 10   sum == 96
i == 19   a[19] === 10   sum == 106
i == 20   a[20] === 11   sum == 117
i == 21   a[21] === 12   sum == 129
i == 22   a[22] === 12   sum == 141
i == 23   a[23] === 12   sum == 153
i == 24   a[24] === 13   sum == 166
i == 25   a[25] === 14   sum == 180
i == 26   a[26] === 14   sum == 194
i == 27   a[27] === 15   sum == 209
i == 28   a[28] === 16   sum == 225
i == 29   a[29] === 16   sum == 241
i == 30   a[30] === 16   sum == 257
i == 31   a[31] === 16   sum == 273
i == 32   a[32] === 16   sum == 289
i == 33   a[33] === 17   sum == 306
i == 34   a[34] === 18   sum == 324
i == 35   a[35] === 18   sum == 342
i == 36   a[36] === 19   sum == 361
i == 37   a[37] === 20   sum == 381
i == 38   a[38] === 20   sum == 401
i == 39   a[39] === 20   sum == 421
i == 40   a[40] === 21   sum == 442
i == 41   a[41] === 22   sum == 464
i == 42   a[42] === 22   sum == 486
i == 43   a[43] === 23   sum == 509
i == 44   a[44] === 24   sum == 533
i == 45   a[45] === 24   sum == 557
i == 46   a[46] === 24   sum == 581
i == 47   a[47] === 24   sum == 605
i == 48   a[48] === 25   sum == 630
i == 49   a[49] === 26   sum == 656
i == 50   a[50] === 26   sum == 682
i == 51   a[51] === 27   sum == 709
i == 52   a[52] === 28   sum == 737
i == 53   a[53] === 28   sum == 765
i == 54   a[54] === 28   sum == 793
i == 55   a[55] === 29   sum == 822
i == 56   a[56] === 30   sum == 852
i == 57   a[57] === 30   sum == 882
i == 58   a[58] === 31   sum == 913
i == 59   a[59] === 32   sum == 945
i == 60   a[60] === 32   sum == 977
i == 61   a[61] === 32   sum == 1009
i == 62   a[62] === 32   sum == 1041
i == 63   a[63] === 32   sum == 1073
i == 64   a[64] === 32   sum == 1105
i == 65   a[65] === 33   sum == 1138
i == 66   a[66] === 34   sum == 1172
i == 67   a[67] === 34   sum == 1206
i == 68   a[68] === 35   sum == 1241
i == 69   a[69] === 36   sum == 1277
i == 70   a[70] === 36   sum == 1313
i == 71   a[71] === 36   sum == 1349
i == 72   a[72] === 37   sum == 1386
i == 73   a[73] === 38   sum == 1424
i == 74   a[74] === 38   sum == 1462
i == 75   a[75] === 39   sum == 1501
i == 76   a[76] === 40   sum == 1541
i == 77   a[77] === 40   sum == 1581
i == 78   a[78] === 40   sum == 1621
i == 79   a[79] === 40   sum == 1661
i == 80   a[80] === 41   sum == 1702
i == 81   a[81] === 42   sum == 1744
i == 82   a[82] === 42   sum == 1786
i == 83   a[83] === 43   sum == 1829
i == 84   a[84] === 44   sum == 1873
i == 85   a[85] === 44   sum == 1917
i == 86   a[86] === 44   sum == 1961
i == 87   a[87] === 45   sum == 2006
i == 88   a[88] === 46   sum == 2052
i == 89   a[89] === 46   sum == 2098
i == 90   a[90] === 47   sum == 2145
i == 91   a[91] === 48   sum == 2193
i == 92   a[92] === 48   sum == 2241
i == 93   a[93] === 48   sum == 2289
i == 94   a[94] === 48   sum == 2337
i == 95   a[95] === 48   sum == 2385
i == 96   a[96] === 49   sum == 2434
i == 97   a[97] === 50   sum == 2484
i == 98   a[98] === 50   sum == 2534
i == 99   a[99] === 51   sum == 2585
i == 100   a[100] === 52   sum == 2637
